昔比 黄花 笑 易安|今歌 白纻 一生 酸|玉台 朝蕣 何由 写|兀坐 凝思 任墨 干
野人 有 真性|对客 不通 名|赤脚 驱 黄犊|山田 事 耦耕
山鸟 乱鸣 树|和风 微动 琴|平生 寥落 意|因以 忆 长林
礼乐 成 乌有|诗书 入 翠微|无银 堪 易米|甘采 首阳 薇
白日 行 深院|青莲 护 讲台|悠然 何 所得|身世 委 浮埃
老仙 绝鲜 寻常 外|一笑 闽川 绿 荔枝|坐断 世间 滋味 彻|阿谁 翻欲 语 凡饴
蚁浮 犹腊 要酥 同|长恨 中州 信 不通|忽得 吴中 所 持寄|急令 分减 报 乡风
楚楚 成 梧槚|殷殷 正 诵弦|风声 又 于越|垂老 话 何年
豺当 道上 狐 何问|鹰击 霜前 兔 已愁|火急 平反 供 一笑|紫荷 玉笋 待 君侯
暮潮 来 艇子|深树 出 蛮歌|携得 清风 至|毋劳 夜 枕戈
入阁 几 重重|双开 曲径 通|穿风 分 柳径|随藓 度 兰风
居山 城市 罕 逢人|傲世 名高 混 世尘|满目 烟霞 常 作伴|言知 寒暑 易 为春
光宅 唐尧 日|暄和 太昊 春|德如 天溥 爱|性与 帝 同仁
乱枝 轇轕 翠阴 圆|倚岫 垂崖 尽 偃然|不为 深根 生 触石|定应 高干 上 摩天
坐忆 仙源 里|春风 尔 独寻|桃花 别 后路|芳草 到 时心
莫怨 阿谁 种 祸胎|浮云 黯黯 压 中台|时无 高士 戴 安道|曾有 奸雄 罗 汝才
沮人 言盗 纵 君骄|蒙蔽 终难 止 绎骚|到底 国亡 身亦 死|措心 何异 相 秦高
客路 逢 佳节|无欢 更益 愁|前山 造 云日|登陟 不因 游
吹角 羽林 闲 枕甲|建牙 朱邸 待 推轮|萧条 深巷 严更 永|爆竹 无声 犬吠 频
名园 一岁 岁 回经|又见 松篁 引蔓 青|照影 寒塘 波不 极|轩眉 快阁 雨来 冥
丛竹 藏 鸡犬|茅檐 间 柳梅|前期 犹未 定|客思 正 悠哉
雨阻 东山 屐|天留 北海 杯|门墙 接 苑树|长昼 得 迟回
古道 逢 元夕|荒山 惨 暮烟|桃花 虽 作意|未是 艳阳 天
山簇 青螺 树拥 津|一回 帘捲 一回 新|湿云 初敛 经 宵雨|小艇 频来 趁 市人
厌说 青齐 旧|依稀 十二 年|薄游 鸡肋 味|多难 马蹄 篇
往日 招寻 处|春波 与 月波|桃花 西子 里|锦带 大夫 河
老眼 看 时态|殷忧 入 腑脾|百年 能 骨肉|贫贱 亦 何辞
紫翠 浮浮 夺 晓昏|生涯 谷汲 与松 焚|客尘 一点 自应 少|终日 到门 惟 白云
照眼 红绡 未 十旬|西风 又折 锦苞 新|石家 金谷 如 长在|尽有 明珠 换 美人
天台 仙籍 上|又见 姓刘 人|入幕 红莲 晓|趋庭 彩服 春
几欲 成 高蹈|今来 愧 隐沦|山中 有 茅屋|弃置 勿 重陈
遍地 秋风 落木 号|平原 驻马 仰 天高|徘徊 莫试 强 弓手|为惜 云霄 一 羽毛
山染 眉津 绿|湘澄 眼采 明|东山 谢 安石|深意 在 苍生
身如 椰子 口 宏开|看尽 诸方 鬼戏 来|放一 头低 人 不识|疎山 师叔 是同 胎
南浦 丛祠 旧|东闽 汗简 新|李蘩 有 家传|今尔 独 何人
泖云 西畔 一 诗翁|画法 营丘 理趣 融|四十 年前 经 此地|双松 无恙 草堂 空
来为 南岳 翛然 别|去作 东华 烂熳 游|想见 醉围 红粉 处|雪笺 佳句 挽 银钩
浩浩 怀山 势莫 回|江村 四望 绝 烟埃|堪怜 几处 为鱼 鳖|黄潦 惊漂 栋宇 来
入耳 风初 峭|关心 月尚 明|馀音 流 野外|断续 和 鸡鸣
位卑 希 少室|饮醉 达 无何|勘破 红尘 事|风恬 水不 波
剑气 凌 南斗|薇垣 逼 上台|遐方 时 恋阙|飞梦 到 燕台
画省 容台 记 并游|相思 相望 几 登楼|路长 久叹 音尘 绝|事变 还惊 岁月 流
春雪 满林 看|春庭 增 暮寒|幽人 扣 户外|饥雀 噪 檐端
白龙 池上 白 龙湫|分作 清溪 洗砚 流|昨夜 黑云 将 雨过|祇惊 溪畔 墨花 浮
南浦 清秋 露冷 时|凋红 片片 已堪 悲|若教 具眼 高人 看|风折 霜枯 似 更奇
玉骨 冰肌 冷 照人|匀红 轻浥 绛罗 巾|更无 凡木 能 争艳|定向 壶中 别 得春
谓是 洪羊 雨|洪羊 几日 烹|天悭 才 自破|田稚 忽 更生
殿外 霓旌 漾 晓晖|炉烟 浮动 衮龙 衣|璚楼 贝阙 天中 起|五色 云霞 在 翠微
佛桑 解吐 四时 艳|铁树 还如 九节 蒲|省得 一朝 疲 造请|却教 终日 走 长涂
道林 谈论 惠休 诗|一到 人天 便作 师|香积 筵承 紫泥 诏|昭阳 歌唱 碧云 词
与谁 泛 吴越|知已 是 高僧|对卧 风吹 席|清谈 雪冻 灯
